"DisplayName","UserPrincipalName","AccountEnabled","UserType","CreatedDateTime"
"george.liberatos","george.liberatos_gmail.com#EXT#@xkdk1.onmicrosoft.com","True","Guest","3/24/2026 3:14:26 AM"
"George Liberatos","George_Lib4172@xkdk1.onmicrosoft.com","True","Member","3/13/2026 4:40:05 PM"
"George Liberatos","gliberatos@xkdk1.onmicrosoft.com","True","Member","8/21/2025 8:09:16 AM"
"Hayden Davis","hdavis@xkdk1.onmicrosoft.com","True","Member","2/4/2026 6:23:34 PM"
"Hayden Hernandez","hhernandez@xkdk1.onmicrosoft.com","True","Member","2/4/2026 6:23:33 PM"
"Hayden Jones","hjones@xkdk1.onmicrosoft.com","True","Member","2/4/2026 6:23:34 PM"
"Jordan Brown","jbrown@xkdk1.onmicrosoft.com","True","Member","2/4/2026 6:23:34 PM"
"Jamie Davis","jdavis@xkdk1.onmicrosoft.com","True","Member","2/4/2026 6:23:33 PM"
"Jordan Lopez","jlopez@xkdk1.onmicrosoft.com","True","Member","2/4/2026 6:23:35 PM"
"Jamie Moore","jmoore@xkdk1.onmicrosoft.com","True","Member","2/4/2026 6:23:33 PM"
"Jamie Smith","jsmith@xkdk1.onmicrosoft.com","True","Member","2/4/2026 6:23:35 PM"
"Jamie Williams","jwilliams@xkdk1.onmicrosoft.com","True","Member","2/4/2026 6:23:33 PM"
"Kendall Anderson","kanderson@xkdk1.onmicrosoft.com","True","Member","2/4/2026 6:23:34 PM"
"Kendall Johnson","kjohnson@xkdk1.onmicrosoft.com","True","Member","2/4/2026 6:23:34 PM"
"Kendall Miller","kmiller@xkdk1.onmicrosoft.com","True","Member","2/4/2026 6:23:33 PM"
"Morgan Miller","mmiller@xkdk1.onmicrosoft.com","True","Member","2/4/2026 6:23:34 PM"
"Morgan Moore","mmoore@xkdk1.onmicrosoft.com","True","Member","2/4/2026 6:23:34 PM"
"Onprem User","OnpremUser@xkdk1.onmicrosoft.com","True","Member","3/26/2026 2:53:43 PM"
"Parker Davis","pdavis@xkdk1.onmicrosoft.com","True","Member","2/4/2026 6:23:33 PM"
"Parker Jones","pjones@xkdk1.onmicrosoft.com","True","Member","2/4/2026 6:23:34 PM"
"Parker Lee","plee@xkdk1.onmicrosoft.com","True","Member","2/4/2026 6:23:34 PM"
"Parker Martinez","pmartinez@xkdk1.onmicrosoft.com","True","Member","2/4/2026 6:23:34 PM"
"Parker Rodriguez","prodriguez@xkdk1.onmicrosoft.com","True","Member","2/4/2026 6:23:33 PM"
"Quinn Jackson","qjackson@xkdk1.onmicrosoft.com","True","Member","2/4/2026 6:23:33 PM"
"Rowan Brown","rbrown@xkdk1.onmicrosoft.com","True","Member","2/4/2026 6:23:33 PM"
"Riley Jackson","rjackson@xkdk1.onmicrosoft.com","True","Member","2/4/2026 6:23:33 PM"
"Riley Jones","rjones@xkdk1.onmicrosoft.com","True","Member","2/4/2026 6:23:34 PM"
"Rowan Lee","rlee@xkdk1.onmicrosoft.com","True","Member","2/4/2026 6:23:33 PM"
"Rowan Lopez","rlopez@xkdk1.onmicrosoft.com","True","Member","2/4/2026 6:23:34 PM"
"Reese Martin","rmartin@xkdk1.onmicrosoft.com","True","Member","2/4/2026 6:23:34 PM"
"Reese Miller","rmiller@xkdk1.onmicrosoft.com","True","Member","2/4/2026 6:23:35 PM"
"Riley Moore","rmoore@xkdk1.onmicrosoft.com","True","Member","2/4/2026 6:23:34 PM"
"Reese Moore","rmoore01@xkdk1.onmicrosoft.com","True","Member","2/4/2026 6:23:34 PM"
"Rowan Wilson","rwilson@xkdk1.onmicrosoft.com","True","Member","2/4/2026 6:23:33 PM"
"Riley Wilson","rwilson01@xkdk1.onmicrosoft.com","True","Member","2/4/2026 6:23:33 PM"
"Skyler Gonzalez","sgonzalez@xkdk1.onmicrosoft.com","True","Member","2/4/2026 6:23:33 PM"
"Skyler Jackson","sjackson@xkdk1.onmicrosoft.com","True","Member","2/4/2026 6:23:34 PM"
"Skyler Lee","slee@xkdk1.onmicrosoft.com","True","Member","2/4/2026 6:23:34 PM"
"Skyler Martinez","smartinez@xkdk1.onmicrosoft.com","True","Member","2/4/2026 6:23:34 PM"
"SVC Okta Sync 0oazu7r83vYtL2iVQ697","svc_OKTA_sync_0oazu7r83vYtL2iVQ697@xkdk1.onmicrosoft.com","True","Member","2/6/2026 5:46:39 PM"
"Test User","Test1@xkdk1.onmicrosoft.com","True","Member","2/4/2026 11:53:42 PM"
"Test Test2","Test2@xkdk1.onmicrosoft.com","True","Member","2/18/2026 4:15:07 PM"
"Taylor Johnson","tjohnson@xkdk1.onmicrosoft.com","True","Member","2/4/2026 6:23:34 PM"
